service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
全日,1,1,1,1,1,1,1,20210301,20220228
平日,1,1,1,1,1,0,0,20210301,20220228
土曜,0,0,0,0,0,1,0,20210301,20220228
土日祝,0,0,0,0,0,1,1,20210301,20220228
平日夏季,1,1,1,1,1,0,0,20210301,20220228
月・水・金,1,0,1,0,1,0,0,20210301,20220228
月曜,1,0,0,0,0,0,0,20210301,20220228
火曜,0,1,0,0,0,0,0,20210301,20220228
平日+土曜日,1,1,1,1,1,1,0,20210301,20220228
1日+水曜日,0,0,1,0,0,0,0,20210301,20220228
(1日+水曜日)以外の平日,1,1,0,1,1,0,0,20210301,20220228
1日+水曜日以外の平日＋土曜日,1,1,0,1,1,1,0,20210301,20220228
