service_id,date,exception_type
(1日+水曜日)以外の平日,20210301,2
(1日+水曜日)以外の平日,20210401,2
(1日+水曜日)以外の平日,20210429,2
(1日+水曜日)以外の平日,20210503,2
(1日+水曜日)以外の平日,20210504,2
(1日+水曜日)以外の平日,20210601,2
(1日+水曜日)以外の平日,20210701,2
(1日+水曜日)以外の平日,20210722,2
(1日+水曜日)以外の平日,20210723,2
(1日+水曜日)以外の平日,20210809,2
(1日+水曜日)以外の平日,20210901,2
(1日+水曜日)以外の平日,20210920,2
(1日+水曜日)以外の平日,20210923,2
(1日+水曜日)以外の平日,20211001,2
(1日+水曜日)以外の平日,20211101,2
(1日+水曜日)以外の平日,20211123,2
(1日+水曜日)以外の平日,20211201,2
(1日+水曜日)以外の平日,20220110,2
(1日+水曜日)以外の平日,20220201,2
(1日+水曜日)以外の平日,20220211,2
1日+水曜日,20210301,1
1日+水曜日,20210401,1
1日+水曜日,20210505,2
1日+水曜日,20210601,1
1日+水曜日,20210701,1
1日+水曜日,20210901,1
1日+水曜日,20211001,1
1日+水曜日,20211101,1
1日+水曜日,20211103,2
1日+水曜日,20211201,1
1日+水曜日,20220201,1
1日+水曜日,20220223,2
1日+水曜日以外の平日＋土曜日,20210320,2
1日+水曜日以外の平日＋土曜日,20210429,2
1日+水曜日以外の平日＋土曜日,20210503,2
1日+水曜日以外の平日＋土曜日,20210504,2
1日+水曜日以外の平日＋土曜日,20210722,2
1日+水曜日以外の平日＋土曜日,20210723,2
1日+水曜日以外の平日＋土曜日,20210809,2
1日+水曜日以外の平日＋土曜日,20210920,2
1日+水曜日以外の平日＋土曜日,20210923,2
1日+水曜日以外の平日＋土曜日,20211123,2
1日+水曜日以外の平日＋土曜日,20220101,2
1日+水曜日以外の平日＋土曜日,20220110,2
1日+水曜日以外の平日＋土曜日,20220211,2
月・水・金,20210503,2
月・水・金,20210505,2
月・水・金,20210723,2
月・水・金,20210809,2
月・水・金,20210920,2
月・水・金,20211103,2
月・水・金,20220110,2
月・水・金,20220211,2
月・水・金,20220223,2
土日祝,20210429,1
土日祝,20210503,1
土日祝,20210504,1
土日祝,20210505,1
土日祝,20210722,1
土日祝,20210723,1
土日祝,20210809,1
土日祝,20210920,1
土日祝,20210923,1
土日祝,20211103,1
土日祝,20211123,1
土日祝,20220110,1
土日祝,20220211,1
土日祝,20220223,1
土曜,20210320,2
土曜,20220101,2
平日,20210429,2
平日,20210503,2
平日,20210504,2
平日,20210505,2
平日,20210722,2
平日,20210723,2
平日,20210809,2
平日,20210920,2
平日,20210923,2
平日,20211103,2
平日,20211123,2
平日,20220110,2
平日,20220211,2
平日,20220223,2
平日+土曜日,20210320,2
平日+土曜日,20210429,2
平日+土曜日,20210503,2
平日+土曜日,20210504,2
平日+土曜日,20210505,2
平日+土曜日,20210722,2
平日+土曜日,20210723,2
平日+土曜日,20210809,2
平日+土曜日,20210920,2
平日+土曜日,20210923,2
平日+土曜日,20211103,2
平日+土曜日,20211123,2
平日+土曜日,20220101,2
平日+土曜日,20220110,2
平日+土曜日,20220211,2
平日+土曜日,20220223,2
平日夏季,20210429,2
平日夏季,20210503,2
平日夏季,20210504,2
平日夏季,20210505,2
平日夏季,20210722,2
平日夏季,20210723,2
平日夏季,20210809,2
平日夏季,20210920,2
平日夏季,20210923,2
平日夏季,20211103,2
平日夏季,20211123,2
平日夏季,20220110,2
平日夏季,20220211,2
平日夏季,20220223,2
